标题,链接,价格,作者,出版时间,评论数,简介
Python编程 从入门到实践 【图灵程序设计丛书】Python3.5编程入门图书 机器学习 数据处理 网络爬虫热门编程语言 从基本概念到完整项目开发 帮助零基础读者迅速掌握Python编程 附赠源代码文件,http://product.dangdang.com/24003310.html,¥62.80,[美]埃里克・马瑟斯（Eric Matthes）,2016-07-01,上到有编程基础的程序员，下到10岁少年，想入门Python并达到可以开发实际项目的水平，本书是读者*！ 本书是一本全面的从入门到实践的Python编程教程，带领读者快速掌握编程基础知识、编写出能解决实际问题的代码并开发复杂项目。 书中内容分为基础篇和实战篇两部分。基础篇介绍基本的编程概念，如列表、字典、类和循环，并指导读者编写整洁且易于理解的代码。另外还介绍了如何让程序能够与用户交互，以及如何在代码运行前进行测试。实战篇介绍如何利用新学到的知识开发功能丰富的项目：2D游戏《外星人入侵》，数据可视化实战，Web应用程序。
Python编程快速上手 让繁琐工作自动化（Python3编程从入门到实践 新手学习必备用书） Python3编程从入门到实践美亚畅销Python编程入门图书 Python3实战指南 带你快速实现Python高效编程,http://product.dangdang.com/23997502.html,¥62.20,[美] Al Sweigart 斯维加特,2016-06-01,"亚马逊畅销Python编程图书，帮助你通过编程快速实现工作自动化在本书中，你将学习利用Python 编程，在几分钟内完成手工需要几小时的工作，而事先却无需具备编程经验。一旦掌握了编程的基础知识，你就可以毫不费力地创建Python 程序，完成高效的自动化工作，包括：● 在一个文件或多个文件中搜索文本；● 创建、更新、移动和重命名文件和文件夹；● 搜索网页和下载的在线内容；● 在任意大小的Excel电子表格中更新和格式化数据；● 拆分、合并PDF文件，以及如何加水印和加密；● 发送提醒邮件和文本通知；● 填写在线表格。本书的作者Al Sweigart是一位杰出Python程序员,他还是《Python 密码学编程》、《Python 游戏编程快速上手》和《Python 和Pygame 游戏开发指南》的作者。"
Python从小白到大牛 JetBrains大中华区市场经理赵磊作序!赠送教学课件24章，300个示例源代码，4个完整实战项目，热销教学视频2500分钟（三月有效期），提供实时在线答疑服务，畅销10万册,http://product.dangdang.com/25574315.html,¥61.40,关东升,2018-11-01,本书得到了JetBrains大中华区市场经理赵磊作序推荐!本书不仅提供了理论知识，而且赠送教学课件24章，300个示例源代码，4个完整实战项目，提供实时在线答疑服务，出版至今热销10万册。本书是一本真正的Python百科全书，内容全面涵盖编程入门、语法基础、科学计算、爬虫技术，涵盖300的示例源码。一本立体化教程。赠送学习视频教程：所有购买本书的读者均可获赠约50小时（约25000分钟）的 Python从小白到大牛全集 视频课程： （1）Python从小白到大牛*篇Python基础：352分钟。 （2）Python从小白到大牛第二篇进阶：621分钟。 （3）Python从小白到大牛第三篇高级实用库与框架：664分钟。 （4）Python从小白到大牛第四篇项目实战1 网络爬虫与抓取股票数据：193分钟。 （5）Python从小白到大牛第四篇项目实战2 数据可视化与股票数据分析：79分钟。 （6）Python从小白到大牛第四篇
对比Excel，轻松学习Python数据分析 数据分析师入门实操工具书，对比Excel操作学习Python代码，低门槛、高效率，送数据分析课程，送数据分析师知识图谱,http://product.dangdang.com/26512595.html,¥54.50,张俊红,2019-02-01,Python虽然是一门编程语言，但是在数据分析领域实现的功能和Excel的基本功能一样，而Excel又是大家比较熟悉、容易上手的软件，可以通过Excel数据分析去对比学习Python数据分析。本书将数据分析过程中涉及的每一个操作都对照讲解，让你从熟悉的Excel操作中去学习对应的Python实现，而不是直接学习Python代码，大大降低了学习门槛，消除了大家对代码的恐惧心理。这也是本书的一大特色，让读者可以像学Excel数据分析一样，轻松学习Python数据分析。
Python Qt GUI与数据可视化编程 PyQt5教程书籍 pyqt5快速开发实例教程 Python Qt5 GUI快速编程 示例丰富的Python GUI编程和数据可视化编程的实用指南,http://product.dangdang.com/27918134.html,¥89.30,王维波 栗宝鹃 张晓东,2019-09-01,PyQt5是Qt 5 C 类库的Python绑定，使用PyQt5可以在Python 中开发专业的GUI 应用程序。本书介绍PyQt5开发Python GUI应用程序的编程方法，还介绍在GUI 程序中嵌入二维和三维数据可视化功能的编程方法，特别是将Matplotlib 嵌入GUI 界面的面向对象编程方法。 本书包含大量完整示例程序，使学习过程具有可跟随性和可操作性，适合具有Python编程基础，需要使用Python设计GUI应用程序，或在GUI应用程序中嵌入数据可视化功能的读者。 本书主要内容包括： ● 基于PyQt5的GUI应用程序的技术框架和工具软件的使用； ● GUI程序设计中常用界面组件和功能模块的使用； ● 使用PyQtChart、PyQtDataVisualization、Matplotlib在GUI程序中嵌入二维和三维数据可视化功能的编程方法。
利用Python进行数据分析（原书第2版） Python数据分析经典畅销书全新升级，第1版中文版累计销售100000册 Python pandas创始人亲自执笔，Python语言的核心开发人员鼎立推荐 针对Python 3.6进行全面修订和更新,http://product.dangdang.com/25312917.html,¥82.10,[美]韦斯・麦金尼（Wes McKinney）,2018-07-30,阅读本书可以获得一份关于在Python下操作、处理、清洗、规整数据集的完整说明。本书第二版针对Python 3.6进行了更新，并增加实际案例向你展示如何高效地解决一系列数据分析问题。你将在阅读过程中学习到*版本的pandas、NumPy、IPython和Jupyter。 本书由Wes McKinney创作，他是Python pandas项目的创始人。本书是对Python数据科学工具的实操化、现代化的介绍，非常适合刚学Python的数据分析师或刚学数据科学以及科学计算的Python编程者。数据文件和相关的材料可以在GitHub上找到： l 使用IPython shell和Jupyter notebook进行探索性计算 l 学习NumPy(Numerical Python)的基础和高级特性 l 入门pandas库中的数据分析工具 l 使用灵活工具对数据进行载入、清洗、变换、合并和重塑 l 使用matplotlib创建富含信息的可视化 l 将pandas的groupby功能应用于对数据集的切片、分块和汇总 l 分析
DK编程真好玩：9岁开始学Python DK出版社经典Python编程启蒙书！孩子入门学习编程的不二选择！赠送知名少儿编程教育机构“西瓜创客”精品Python体验课！知名科普作家徐来，“憨爸在美国”创始人鼎力推荐！,http://product.dangdang.com/27940162.html,¥118.00,[英]克雷格・斯蒂尔等 著，爱心树童书 出品,2019-10-01,★适合9岁以上孩子，图形化编程语言Scratch之后，进阶学习编程的不二选择 ★附赠知名少儿编程教育机构 西瓜创客 精品Python体验课！ ★使用Python官网原生开发环境，一开始就让孩子接触真实的编程环境 ★有图形化编程基础，孩子就可以自学，步骤拆解详细，操作说明便于理解 ★通过创编游戏的形式学习编程，轻松有趣，充分激发孩子的探索欲 ★书后附所有作品的完整代码和编程基础词汇表，便于小读者查对、参考 ★STEAM 创新教育体系参考读物，让孩子从科技的被动享乐者变成主动创造者！ ★每个人都应该学习编程，因为它教你如何思考。 苹果公司创始人史蒂夫 乔布斯
Python基础教程（第3版） 【图灵程序设计丛书】Python3.5编程从入门到实践 Python入门佳作 机器学习 人工智能 数据处理 网络爬虫热门编程语言 累计销售20万册,http://product.dangdang.com/25218035.html,¥89.30,[挪]芒努斯・利・海特兰德（Magnus Lie Hetland）,2018-02-01,本书是经典的Python入门教程，层次鲜明、结构严谨、内容翔实，特别是后面几章，作者将前面讲述的内容应用到10个引人入胜的项目中，并以模板的形式介绍了项目的开发过程，手把手教授Python编程实践，让读者从项目中领略Python的真正魅力。 本书既适合初学者夯实基础，又能帮助Python程序员提升技能，即使是中高-级Python程序员，也能从书里找到耳目一新的内容。
疯狂Python讲义,http://product.dangdang.com/25580336.html,¥109.00,李刚,2019-01-01,上手门槛低，8岁的小朋友Charlie亲验，不但可以看懂书中关于Python语法的基础知识，且写出了自己的小程序。 覆盖的知识面广，知识体系完备、系统，再也不用 面向百度 编程。 案例实战性强，涉及大数据展示、网络爬虫、游戏等Python热点应用领域，求职不再难。 110道练习题/面试题与习题答案，编程图书不仅是用来看的，还需要动手操练，知行合一，方为get一门技能的真经。 过万小时线下授课经验锤炼出的大师级讲解能力，将深奥的原理用浅显的比喻表达出来，一学就懂，一看就会。 诱惑十足的增值服务，作者提供用于学习和交流的配套网站及作者亲自在线的答疑微信群、QQ群。
Python学习手册（原书第5版） Python入门必读之作，位列美亚软件编程畅销榜首，《Python编程》姊妹篇 覆盖Python 3.3和Python 2.7两个版本，详细讲解各种语言特性，并新增大量示例,http://product.dangdang.com/25576578.html,¥151.10,[美]马克・卢茨,2018-11-05,本书根据Python专家Mark Lutz的著名培训课程编写而成，是易于掌握和自学的Python语言教程。书中以目前主流的Python 3.X为主，同时兼顾Python 2.X的内容，全面、系统讲解Python语言核心知识，每个知识都会以知识点、思想、示例代码的方式详细展开，由浅入深，循序渐进。同时每章都配有章后习题、编程练习及详尽的解答，并且还配有大量注释、示例和图表，便于你学习新的技能和巩固加深自己的理解。无论你从事哪个领域，本书都为你提供了未来全部Python工作的必备知识。
零基础入门学习Python（第2版）-微课视频版 Python 3.7编程轻松入门 小甲鱼畅销图书 实例贯穿全书 30小时视频讲解 轻松学会Python 累计销售13万册,http://product.dangdang.com/27865271.html,¥61.40,小甲鱼,2019-04-27,小甲鱼畅销图书重磅升级，针对Python 3.7，通过生动的实例，让读者在实践中理解概念，在轻松、愉快中学会Python！
Python编程从零基础到项目实战（微课视频版） Python3.6入门，支持3.6.X/3.7版本，作者专业在线指导，从图形界面、Web、数据库编程到科学计算、大数据、人工智能、网络爬虫，由浅入深层层推进。赠案例代码、习题实验答案、函数示例演示手册,http://product.dangdang.com/25479735.html,¥67.20,刘瑜,2018-10-01,免费赠送： Python配套习题实验答案及分析手册（100页电子书）： 该学习手册不但提供了习题与实验的参考答案，重点在实验里提供了超出书本知识的内容和代码，并提供了学习重点、学习方法、学习拓展方向的分析。 Python内置函数案例演示手册（70页电子书）： 该学习手册把Python3.6.X的自带函数做了系统梳理和介绍，并给出每个函数的代码示范应用案例。（作为初学者，能熟练利用一种编程语言的自带函数，可以方便地解决很多编程问题，这是读者须掌握的基本功之一）。 以上两本电子书获取方式请见图书 前言 中的提示，读者可通过关注公众号或加入学习服务QQ群获取，建议读者购书后申请加入QQ群，不但能获取电子书、源代码、PPT课件等学习资源，更可获得作者专业在线指导，同时与群内学友相互交流学习。 1. 配套视频讲解，手机扫码看视频，手
Python神经网络编程 人工智能深度学习机器学习领域又一重磅力作 自己动手用Python编写神经网络 美亚排名前茅荣获众多好评 全彩印刷 图表丰富,http://product.dangdang.com/25251315.html,¥62.20,[英]塔里克・拉希德（Tariq Rashid）,2018-04-01,当前，深度学习和人工智能的发展和应用给人们留下了深刻的印象。神经网络是深度学习和人工智能的关键元素，然而，真正了解神经网络工作机制的人少之又少。本书用轻松的笔触，一步一步揭示了神经网络的数学思想，并介绍如何使用Python编程语言开发神经网络。 本书将带领您进行一场妙趣横生却又有条不紊的旅行 从一个非常简单的想法开始，逐步理解神经网络的工作机制。您无需任何超出中学范围的数学知识，并且本书还给出易于理解的微积分简介。本书的目标是让尽可能多的普通读者理解神经网络。读者将学习使用Python开发自己的神经网络，训练它识别手写数字，甚至可以与专业的神经网络相媲美。 本书适合想要了解深度学习、人工智能和神经网络的读者阅读，尤其适合想要通过Python编程进行神经网络开发的读者参考。 这是一本精心编写、给完全初学
